2019-05-13 12:52:34,280 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:34,282 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:34,301 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:34,302 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:34,302 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:34,304 | DEBUG | oss.core.server) | goss-core-server                 | 46 - pnnl.goss.core.goss-core-server - 2.0.27.201905131951 | ServiceEvent UNREGISTERING - [pnnl.goss.core.server.ServerControl] - pnnl.goss.core.goss-core-server
2019-05-13 12:52:34,319 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:34,320 | DEBUG | oss.core.client) | goss-client                      | 42 - pnnl.goss.core.goss-client - 2.0.29.201905131948 | ServiceEvent UNREGISTERING - [pnnl.goss.core.ClientFactory] - pnnl.goss.core.goss-client
2019-05-13 12:52:34,321 | DEBUG | oss.core.client) | runner                           | 50 - pnnl.goss.core.runner - 2.0.5.201905131951 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.runner
2019-05-13 12:52:34,322 | DEBUG | oss.core.client) | goss-core-commands               | 43 - pnnl.goss.core.goss-core-commands - 2.0.18.201905131948 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.goss-core-commands
2019-05-13 12:52:34,322 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:34,323 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:34,326 | DEBUG | oss.core.client) | goss-core-server                 | 46 - pnnl.goss.core.goss-core-server - 2.0.27.201905131951 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.goss-core-server
2019-05-13 12:52:34,340 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:35,489 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:35,490 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:35,501 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:35,501 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:35,501 | DEBUG | oss.core.server) | goss-core-server                 | 46 - pnnl.goss.core.goss-core-server - 2.0.27.201905131951 | ServiceEvent UNREGISTERING - [pnnl.goss.core.server.ServerControl] - pnnl.goss.core.goss-core-server
2019-05-13 12:52:35,505 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
